Id,Name,IsMandatory,IsProhibited,CanonicalName,Aliases,IsActive,IsCondiment,GeneratedAliasCount,ReviewSuggested
2a0be04b-f7ad-40e1-bd30-af3eccdc10d3,Süt,f,f,Süt,"[""Süt"", ""sut"", ""milk"", ""whole milk"", ""whole-milk"", ""wholemilk""]",t,f,6,False
80ddf5f6-1688-4690-a1c5-8cb353ed4a06,Yoğurt,f,f,Yoğurt,"[""Yoğurt"", ""yogurt"", ""yoghurt"", ""plain yogurt"", ""plain-yogurt"", ""plainyogurt""]",t,f,6,False
9a9086a3-cbe3-45cb-85fc-1152e2c4f132,Zeytinyağı,f,f,Zeytinyağı,"[""Zeytinyağı"", ""zeytinyagi"", ""olive oil"", ""olive-oil"", ""oliveoil"", ""extra virgin olive oil"", ""extra-virgin-olive-oil"", ""extravirginoliveoil""]",t,f,8,False
bcf640de-7b34-4e57-83d5-b2dd596c4323,Tavuk,f,f,Tavuk,"[""Tavuk"", ""chicken""]",t,f,2,True
e17d5b17-4d42-4196-b4f0-3c82c23e2525,Yulaf,f,f,Yulaf,"[""Yulaf"", ""oats"", ""rolled oats"", ""rolled-oats"", ""rolledoats"", ""oat""]",t,f,6,False
214b3097-5846-41d1-8ef7-ba16a9d86b78,Acı Biber Salçası,f,f,Acı Biber Salçası,"[""Acı Biber Salçası"", ""acı-biber-salçası"", ""acıbibersalçası"", ""aci-biber-salcasi"", ""aci biber salcasi"", ""acibibersalcasi"", ""hot pepper paste"", ""hot-pepper-paste"", ""hotpepperpaste"", ""pepper paste"", ""pepper-paste"", ""pepperpaste"", ""chili paste"", ""chili-paste"", ""chilipaste""]",t,t,15,False
4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1,Yumurta,f,f,Yumurta,"[""Yumurta"", ""egg"", ""eggs"", ""chicken egg"", ""chicken-egg"", ""chickenegg"", ""tavuk yumurtası"", ""tavuk-yumurtası"", ""tavukyumurtası"", ""tavuk-yumurtasi"", ""tavuk yumurtasi"", ""tavukyumurtasi"", ""chicken eggs"", ""chicken-eggs"", ""chickeneggs"", ""büyük yumurta"", ""büyük-yumurta"", ""büyükyumurta"", ""buyuk-yumurta"", ""buyuk yumurta"", ""buyukyumurta"", ""organik yumurta"", ""organik-yumurta"", ""organikyumurta""]",t,f,24,False
593063f6-7a3d-43c5-96f4-8277b13dd725,Muz,f,f,Muz,"[""Muz"", ""banana"", ""bananas"", ""olgun muz"", ""olgun-muz"", ""olgunmuz"", ""yeşil muz"", ""yeşil-muz"", ""yeşilmuz"", ""yesil-muz"", ""yesil muz"", ""yesilmuz""]",t,f,12,False
1d1e6ccf-1c7b-4e7f-b750-7513d8972936,Acı Sivri Biber,f,f,Acı Sivri Biber,"[""Acı Sivri Biber"", ""acı-sivri-biber"", ""acısivribiber"", ""aci-sivri-biber"", ""aci sivri biber"", ""acisivribiber"", ""hot green pepper"", ""hot-green-pepper"", ""hotgreenpepper"", ""hot chili pepper"", ""hot-chili-pepper"", ""hotchilipepper"", ""green chili pepper"", ""green-chili-pepper"", ""greenchilipepper"", ""acı biber"", ""acı-biber"", ""acıbiber"", ""aci-biber"", ""aci biber"", ""acibiber"", ""hot pepper"", ""hot-pepper"", ""hotpepper""]",t,f,24,False
dabed082-4d73-4128-94da-ee1fb1f9d1dc,Domates,f,f,Domates,"[""Domates"", ""tomato"", ""tomatoes"", ""cherry domates"", ""cherry-domates"", ""cherrydomates"", ""salkım domates"", ""salkım-domates"", ""salkımdomates"", ""salkim-domates"", ""salkim domates"", ""salkimdomates"", ""konserve domates"", ""konserve-domates"", ""konservedomates""]",t,f,15,False
