Id,RecipeId,IngredientId,Role,Quantity,Unit,CreatedAtUtc
106783fd-0549-50fc-8634-bff5c9a60641,a2afa254-77e3-541b-9e7d-cbd55f5f36c5,e2653cd5-1e76-4bc3-9bba-0d326188848c,Mandatory,50.00,gram,2026-04-19 08:00:00.000000+00
7f344311-cf1e-59ac-ab3f-9570533a36c1,a2afa254-77e3-541b-9e7d-cbd55f5f36c5,ee000002-0000-0000-0000-000000000000,Mandatory,180.00,gram,2026-04-19 08:04:00.000000+00
0edeb2ab-27d9-58e7-bf93-98013c385e1f,a2afa254-77e3-541b-9e7d-cbd55f5f36c5,6cd49310-aace-4480-825f-813e16fe1f39,Mandatory,1.00,adet,2026-04-19 08:08:00.000000+00
8b4d474d-566f-5665-997b-0e38648d3db5,a2afa254-77e3-541b-9e7d-cbd55f5f36c5,7b22f7e8-658a-433c-b41f-bb4f04fe903c,Optional,15.00,gram,2026-04-19 08:12:00.000000+00
8f4db144-86bb-5e8d-b7b6-6b0cfb3392a2,a2afa254-77e3-541b-9e7d-cbd55f5f36c5,79d41df7-c85b-4298-88c9-3c98eed77a0e,Flavoring,2.00,gram,2026-04-19 08:16:00.000000+00
c8ae0bd5-c583-5a91-b179-405eaa6f7f1e,6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1,Mandatory,2.00,adet,2026-04-19 08:15:00.000000+00
9f0eac77-b6df-5e05-a824-07b6a13b53c8,6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,4db65ffb-eca0-40e1-a221-cc19f21c0a4e,Mandatory,90.00,gram,2026-04-19 08:19:00.000000+00
ddd1a6ce-daf8-5962-ae62-3b88b31396d8,6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,ee000039-0000-0000-0000-000000000000,Mandatory,70.00,gram,2026-04-19 08:23:00.000000+00
23916e58-bcae-5b57-8067-da01a279e415,6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,ee000005-0000-0000-0000-000000000000,Optional,40.00,gram,2026-04-19 08:27:00.000000+00
5b201d39-8829-51c5-a2d6-ce34c09dc7b7,6b7fa91e-4fc9-5f4c-aa04-15f8e7b81619,311104cb-92a8-4e64-bb18-d22461effebe,Flavoring,2.00,gram,2026-04-19 08:31:00.000000+00
018ec9f5-d8ed-503c-968e-0c053379b36c,189b78de-f65d-5902-a7fc-12f7649b6e19,ee000005-0000-0000-0000-000000000000,Mandatory,150.00,gram,2026-04-19 08:30:00.000000+00
5198f4db-30fe-5605-a0b0-e834b693df6b,189b78de-f65d-5902-a7fc-12f7649b6e19,ee00001b-0000-0000-0000-000000000000,Mandatory,1.00,adet,2026-04-19 08:34:00.000000+00
8a8966c6-1ab2-5fd3-bd1d-a25b434a5d0a,189b78de-f65d-5902-a7fc-12f7649b6e19,0f23fc66-48de-405f-9f9f-2121e959a952,Mandatory,1.00,adet,2026-04-19 08:38:00.000000+00
a8868139-c494-5972-85d7-7b9c2982acb8,189b78de-f65d-5902-a7fc-12f7649b6e19,ee000012-0000-0000-0000-000000000000,Optional,40.00,gram,2026-04-19 08:42:00.000000+00
a7cacfea-e944-5856-8954-57cdba70acb5,189b78de-f65d-5902-a7fc-12f7649b6e19,79d41df7-c85b-4298-88c9-3c98eed77a0e,Flavoring,1.00,gram,2026-04-19 08:46:00.000000+00
b753f5cb-289c-51e9-8583-4b9b45948d68,9d6f3f42-669b-540e-86dd-b4e9b5a2040a,ee000030-0000-0000-0000-000000000000,Mandatory,90.00,gram,2026-04-19 08:45:00.000000+00
7dd119bf-0045-5efa-b1dc-12654ee3f243,9d6f3f42-669b-540e-86dd-b4e9b5a2040a,e0ca00cc-387f-4ecd-88fe-bf60ea8bf2f9,Mandatory,140.00,gram,2026-04-19 08:49:00.000000+00
6a131cf5-0849-5cd7-8add-b4a94895e436,9d6f3f42-669b-540e-86dd-b4e9b5a2040a,ee00000e-0000-0000-0000-000000000000,Optional,60.00,gram,2026-04-19 08:53:00.000000+00
91b82381-d37b-5d89-ac3e-d617e7a24fd7,9d6f3f42-669b-540e-86dd-b4e9b5a2040a,ee000031-0000-0000-0000-000000000000,Flavoring,10.00,ml,2026-04-19 08:57:00.000000+00
1b623c8d-30ab-50f1-bf4b-f0139341a2e5,9d6f3f42-669b-540e-86dd-b4e9b5a2040a,75fb87e9-c409-45e5-8d5c-b01ebb4921f1,Flavoring,2.00,gram,2026-04-19 09:01:00.000000+00
63ea6273-81ee-5561-8f6a-2f0ee0aec5fe,ac72654c-837b-58f2-8ea2-974a19204960,587d052d-5ed5-4174-b9b0-9db290676f99,Mandatory,140.00,gram,2026-04-19 09:00:00.000000+00
57e834c3-d5b6-592c-8e5c-37614412a754,ac72654c-837b-58f2-8ea2-974a19204960,535e01d4-e726-4414-8830-07ce3185ee3b,Mandatory,60.00,gram,2026-04-19 09:04:00.000000+00
68698425-3abc-577a-97fa-7277332721f4,ac72654c-837b-58f2-8ea2-974a19204960,7efb8124-685c-47b6-a0cc-abfbff03c5ec,Mandatory,100.00,gram,2026-04-19 09:08:00.000000+00
5911e087-8542-5b8c-a917-ab884bc58950,ac72654c-837b-58f2-8ea2-974a19204960,ee000031-0000-0000-0000-000000000000,Optional,8.00,ml,2026-04-19 09:12:00.000000+00
ead6a42e-f5ec-53c9-9833-0df5239832e4,ac72654c-837b-58f2-8ea2-974a19204960,81f5d70b-f243-4753-8444-823e41554858,Flavoring,2.00,gram,2026-04-19 09:16:00.000000+00
