RecipeId,IngredientId
011be114-eecb-5cb1-aefd-726e486afb76,1d4c5657-d472-4c55-8654-964660fb0871
011be114-eecb-5cb1-aefd-726e486afb76,ee00000e-0000-0000-0000-000000000000
012d10ff-def6-5f43-afa8-a60c09f4add0,02408150-f4ff-4c0d-b09e-f7793f498e32
012d10ff-def6-5f43-afa8-a60c09f4add0,418a7fe5-420e-4078-8981-f71ecd729f7c
019bb8b1-f6de-5ce5-87fa-70f7bff21ebc,4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1
019bb8b1-f6de-5ce5-87fa-70f7bff21ebc,eb88f100-30e8-48eb-9552-fcc063701c70
019bb8b1-f6de-5ce5-87fa-70f7bff21ebc,ee00000e-0000-0000-0000-000000000000
019bb8b1-f6de-5ce5-87fa-70f7bff21ebc,f66768ce-9de1-537f-904b-57c2c65ffb98
021c380f-8278-563c-aff4-b8dbcdaed0f9,ee00000e-0000-0000-0000-000000000000
021c380f-8278-563c-aff4-b8dbcdaed0f9,ee000014-0000-0000-0000-000000000000
021c380f-8278-563c-aff4-b8dbcdaed0f9,ee000028-0000-0000-0000-000000000000
02c5878b-30f3-5145-9e60-729803f308a9,9d277685-adaf-4415-a4ef-7b0b8f4fb6c8
02c5878b-30f3-5145-9e60-729803f308a9,ee00000e-0000-0000-0000-000000000000
04eb8198-72af-5843-b210-a6e6c422a617,ca3b1ec4-c30c-4031-bbaa-d69fef46a98c
05f39652-3c86-5e5f-a2f4-42b06e657e26,209ece7a-b6e3-476a-9d5e-e575e9987de1
05f39652-3c86-5e5f-a2f4-42b06e657e26,ce530eb9-7758-465a-aabd-7ceb2df0ce75
05f39652-3c86-5e5f-a2f4-42b06e657e26,ee00000e-0000-0000-0000-000000000000
06bbc6eb-06d7-5c51-b08d-efb7265420a1,7efb8124-685c-47b6-a0cc-abfbff03c5ec
0731bd2f-4859-55c0-b6ef-12b0255d0eac,3b0fff54-2a2d-4052-9b1b-96fc45c37535
0731bd2f-4859-55c0-b6ef-12b0255d0eac,4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1
08388259-3025-5f8f-b237-c9adc5a366e9,02e5a3ea-592b-49fe-8a92-937c3586d36c
08388259-3025-5f8f-b237-c9adc5a366e9,600d7dae-1651-4144-95cd-736c0528ceda
08388259-3025-5f8f-b237-c9adc5a366e9,ee000006-0000-0000-0000-000000000000
0917380b-ea4f-5068-bef6-13bde02a53e5,285b4d21-eef8-452c-b99b-1c7a306898c2
0917380b-ea4f-5068-bef6-13bde02a53e5,4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1
0917380b-ea4f-5068-bef6-13bde02a53e5,ee00000b-0000-0000-0000-000000000000
0917380b-ea4f-5068-bef6-13bde02a53e5,ee00000e-0000-0000-0000-000000000000
099c9f07-cda1-5e92-ab58-016b82eebb3f,b50c3dc8-2d4d-4bdb-92a6-7722f675660c
099c9f07-cda1-5e92-ab58-016b82eebb3f,ee00000e-0000-0000-0000-000000000000
0afd86dc-1014-596a-ae35-3a60f7f3f052,ee000025-0000-0000-0000-000000000000
