Id,Name,IsMandatory,IsProhibited,CanonicalName,Aliases,IsActive,IsCondiment
003a6893-687d-4e00-bd7c-f3d14b3e01fb,Kapari,False,False,Kapari,"[""Kapari"", ""capers"", ""taze kapari"", ""taze-kapari"", ""tazekapari""]",True,False
018696ce-bcd1-458c-8348-aea949fee88c,Limon Tuzu,False,False,Limon Tuzu,"[""Limon Tuzu"", ""limon-tuzu"", ""limontuzu"", ""citric acid"", ""citric-acid"", ""citricacid""]",True,True
01be3b9e-48b4-40bd-b717-f87863903c6f,İşkembe,False,False,İşkembe,"[""İşkembe"", ""iskembe"", ""tripe"", ""i̇skembe"", ""taze i̇şkembe"", ""taze-i̇şkembe"", ""tazei̇şkembe"", ""taze-i̇skembe"", ""taze i̇skembe"", ""tazei̇skembe""]",True,False
020a9014-81db-47c2-b3ce-9fc54ff9c810,Buğday Nişastası,False,False,Buğday Nişastası,"[""Buğday Nişastası"", ""bugday-nisastasi"", ""bugdaynisastasi"", ""buğday-nişastası"", ""buğdaynişastası"", ""bugday nisastasi"", ""wheat starch"", ""wheat-starch"", ""wheatstarch""]",True,False
02408150-f4ff-4c0d-b09e-f7793f498e32,Tavuk Göğsü,False,False,Tavuk Göğsü,"[""Tavuk Göğsü"", ""tavuk-gogsu"", ""tavukgogsu"", ""tavuk-göğsü"", ""tavukgöğsü"", ""tavuk gogsu"", ""chicken breast"", ""chicken-breast"", ""chickenbreast"", ""chicken fillet"", ""chicken-fillet"", ""chickenfillet"", ""chicken filet"", ""chicken-filet"", ""chickenfilet"", ""skinless chicken breast"", ""skinless-chicken-breast"", ""skinlesschickenbreast"", ""boneless chicken breast"", ""boneless-chicken-breast"", ""bonelesschickenbreast"", ""haşlanmış tavuk"", ""haşlanmış-tavuk"", ""haşlanmıştavuk"", ""haslanmis-tavuk"", ""haslanmis tavuk"", ""haslanmistavuk"", ""ızgara tavuk göğsü"", ""ızgara-tavuk-göğsü"", ""ızgaratavukgöğsü"", ""izgara-tavuk-gogsu"", ""izgara tavuk gogsu"", ""izgaratavukgogsu"", ""tavuk fileto"", ""tavuk-fileto"", ""tavukfileto""]",True,False
02526b8c-1338-442e-8376-085d5ba28d39,Hindi Füme,False,False,Hindi Füme,"[""Hindi Füme"", ""hindi-fume"", ""hindifume"", ""hindi-füme"", ""hindifüme"", ""hindi fume"", ""smoked turkey"", ""smoked-turkey"", ""smokedturkey""]",True,False
02e5a3ea-592b-49fe-8a92-937c3586d36c,Börek Yufkası,False,False,Börek Yufkası,"[""Börek Yufkası"", ""borek-yufkasi"", ""borekyufkasi"", ""börek-yufkası"", ""börekyufkası"", ""borek yufkasi"", ""pastry sheets"", ""pastry-sheets"", ""pastrysheets"", ""yufka pastry"", ""yufka-pastry"", ""yufkapastry"", ""borek sheets"", ""borek-sheets"", ""boreksheets""]",True,False
0356b1f4-da25-4916-82b2-067411f1cd87,Kapya Biber,False,False,Kapya Biber,"[""Kapya Biber"", ""kapya-biber"", ""kapyabiber"", ""capia pepper"", ""capia-pepper"", ""capiapepper"", ""red capia pepper"", ""red-capia-pepper"", ""redcapiapepper"", ""sweet red pepper"", ""sweet-red-pepper"", ""sweetredpepper"", ""kırmızı biber"", ""kırmızı-biber"", ""kırmızıbiber"", ""kirmizi-biber"", ""kirmizi biber"", ""kirmizibiber"", ""red pepper"", ""red-pepper"", ""redpepper"", ""red bell pepper"", ""red-bell-pepper"", ""redbellpepper"", ""paprika pepper"", ""paprika-pepper"", ""paprikapepper"", ""dolmalık biber"", ""dolmalık-biber"", ""dolmalıkbiber"", ""dolmalik-biber"", ""dolmalik biber"", ""dolmalikbiber""]",True,False
0385948b-ecfa-44b1-a7a6-6a87e830112b,Laktozsuz Yoğurt,False,False,Laktozsuz Yoğurt,"[""Laktozsuz Yoğurt"", ""laktozsuz-yogurt"", ""laktozsuzyogurt"", ""laktozsuz-yoğurt"", ""laktozsuzyoğurt"", ""laktozsuz yogurt"", ""lactose free yogurt"", ""lactose-free-yogurt"", ""lactosefreeyogurt"", ""lactose-free yogurt"", ""lactose-freeyogurt"", ""lactose free yoghurt"", ""lactose-free-yoghurt"", ""lactosefreeyoghurt"", ""laktoz-free yoğurt"", ""laktoz-free-yoğurt"", ""laktoz-freeyoğurt"", ""laktoz-free-yogurt"", ""laktoz-free yogurt"", ""laktoz-freeyogurt"", ""laktoz free yoğurt"", ""laktozfreeyoğurt"", ""laktoz free yogurt"", ""laktozfreeyogurt""]",True,False
05205fab-d155-41e9-af18-ad00eb52b8a9,Rezene,False,False,Rezene,"[""Rezene"", ""fennel"", ""taze rezene"", ""taze-rezene"", ""tazerezene""]",True,True
