Id,Name,IsMandatory,IsProhibited,CanonicalName,Aliases,IsActive,IsCondiment
2a0be04b-f7ad-40e1-bd30-af3eccdc10d3,S�t,f,f,S�t,[],t,f
80ddf5f6-1688-4690-a1c5-8cb353ed4a06,Yo�urt,f,f,Yo�urt,[],t,f
9a9086a3-cbe3-45cb-85fc-1152e2c4f132,Zeytinya��,f,f,Zeytinya��,[],t,f
bcf640de-7b34-4e57-83d5-b2dd596c4323,Tavuk,f,f,Tavuk,[],t,f
e17d5b17-4d42-4196-b4f0-3c82c23e2525,Yulaf,f,f,Yulaf,[],t,f
214b3097-5846-41d1-8ef7-ba16a9d86b78,Acı Biber Salçası,f,f,Acı Biber Salçası,"[""acı biber salçası"", ""hot pepper paste"", ""aci biber salcasi""]",t,t
4d4b69f8-ee5b-4ada-a9d3-a3ec5e05eef1,Yumurta,f,f,Yumurta,"[""tavuk yumurtası"", ""büyük yumurta"", ""organik yumurta""]",t,f
593063f6-7a3d-43c5-96f4-8277b13dd725,Muz,f,f,Muz,"[""olgun muz"", ""yeşil muz""]",t,f
1d1e6ccf-1c7b-4e7f-b750-7513d8972936,Acı Sivri Biber,f,f,Acı Sivri Biber,"[""acı sivri biber"", ""hot green pepper"", ""acı biber"", ""aci sivri biber""]",t,f
dabed082-4d73-4128-94da-ee1fb1f9d1dc,Domates,f,f,Domates,"[""cherry domates"", ""salkım domates"", ""konserve domates""]",t,f
00cc5a9b-8460-4c0c-89ad-4ec468e06d40,Patlıcan,f,f,Patlıcan,"[""kemer patlıcanı"", ""çarliston patlıcanı""]",t,f
02408150-f4ff-4c0d-b09e-f7793f498e32,Tavuk Göğsü,f,f,Tavuk Göğsü,"[""haşlanmış tavuk"", ""ızgara tavuk göğsü"", ""tavuk fileto""]",t,f
0356b1f4-da25-4916-82b2-067411f1cd87,Kapya Biber,f,f,Kapya Biber,"[""kırmızı biber"", ""dolmalık biber""]",t,f
0385948b-ecfa-44b1-a7a6-6a87e830112b,Laktozsuz Yoğurt,f,f,Laktozsuz Yoğurt,"[""laktozsuz yogurt"", ""laktoz-free yoğurt""]",t,f
05216906-518c-4ca1-83db-06617737785a,Çipura,f,f,Çipura,"[""sea bream"", ""taze çipura""]",t,f
05416994-3afa-4949-bda6-6877542fafb4,Ton Balığı,f,f,Ton Balığı,"[""konserve ton balığı"", ""su da ton balığı"", ""sıvı yağda ton""]",t,f
06931627-3735-4d36-9db7-875f18634a9b,Kahve,f,f,Kahve,"[""türk kahvesi"", ""filtre kahve"", ""espresso""]",t,f
4777b4f6-e057-41c7-ba89-1dee2d441ce0,Acı Sos,f,f,Acı Sos,"[""acı sos"", ""hot sauce"", ""chili sauce"", ""aci sos""]",t,t
0cb0482a-015b-400c-9179-ecbc21f478e2,Badem Sütü,f,f,Badem Sütü,"[""badem milk"", ""unsweetened badem sütü""]",t,f
0d5163e9-e3ee-4e4e-bd65-e7d5eb3494a0,Beyaz Peynir,f,f,Beyaz Peynir,"[""feta peyniri"", ""tuzsuz beyaz peynir"", ""inek peyniri""]",t,f
